OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID,Year,Month
37,7,2016-08-19,p1005891,5,9750,c365459,2016,8
37,13,2016-08-19,p1175481,2,2600,c365459,2016,8
43,1,2016-08-19,p1175481,1,1300,c309850,2016,8
43,3,2016-08-19,p1012751,1,1380,c309850,2016,8
75,3,2016-08-19,p1175481,1,1300,c083862,2016,8
97,2,2016-08-19,p1072601,1,4600,c135606,2016,8
99,1,2016-08-19,p1097821,1,1000,c302963,2016,8
7,3,2016-08-20,p1175481,1,1300,c088828,2016,8
17,8,2016-08-20,p1097821,1,1000,c366888,2016,8
19,1,2016-08-20,p1072601,1,4600,c138175,2016,8
21,7,2016-08-20,p1175481,1,1300,c119884,2016,8
29,7,2016-08-20,p1005891,1,1950,c230788,2016,8
31,10,2016-08-20,p1005891,1,1950,c069762,2016,8
35,4,2016-08-20,p1005891,2,3900,c256744,2016,8
43,7,2016-08-20,p1175481,1,1300,c040011,2016,8
45,7,2016-08-20,p1175481,1,1300,c040011,2016,8
53,5,2016-08-20,p1072601,1,4600,c121303,2016,8
53,10,2016-08-20,p1175481,1,1300,c121303,2016,8
61,3,2016-08-20,p1175481,1,1300,c236759,2016,8
97,1,2016-08-20,p1175481,1,1300,c227351,2016,8
107,7,2016-08-20,p1012751,2,2760,c126771,2016,8
113,2,2016-08-20,p1072601,1,4600,c221444,2016,8
5,6,2016-08-20,p1175481,1,1300,c367093,2016,8
5,8,2016-08-20,p1097821,1,1000,c367093,2016,8
7,6,2016-08-20,p1005891,2,3900,c385713,2016,8
11,2,2016-08-20,p1072601,2,9200,c283989,2016,8
13,5,2016-08-20,p1012751,1,1380,c223840,2016,8
25,3,2016-08-20,p1072601,1,4600,c066141,2016,8
25,15,2016-08-20,p1097821,1,1000,c066141,2016,8
35,6,2016-08-20,p1175481,1,1300,c083862,2016,8
37,1,2016-08-20,p1012751,1,1380,c150417,2016,8
37,4,2016-08-20,p1072601,2,9200,c150417,2016,8
37,5,2016-08-20,p1175481,1,1300,c150417,2016,8
37,6,2016-08-20,p1005891,1,1950,c150417,2016,8
47,5,2016-08-20,p1175481,1,1300,c082656,2016,8
53,2,2016-08-20,p1005891,1,1950,c083132,2016,8
61,1,2016-08-20,p1175481,1,1300,c355902,2016,8
69,2,2016-08-20,p1175481,1,1300,c343469,2016,8
89,4,2016-08-20,p1012751,1,1380,c017538,2016,8
91,3,2016-08-20,p1005891,-2,-3900,c081327,2016,8
105,5,2016-08-20,p1005891,2,3900,c336759,2016,8
107,1,2016-08-20,p1072601,2,9200,c160622,2016,8
115,6,2016-08-20,p1012751,1,1380,c189316,2016,8
117,4,2016-08-20,p1175481,1,1300,c193316,2016,8
139,1,2016-08-20,p1175481,1,1300,c037261,2016,8
69,1,2016-08-20,p1072601,1,4600,c083862,2016,8
69,4,2016-08-20,p1005891,1,1950,c083862,2016,8
69,5,2016-08-20,p1175481,1,1300,c083862,2016,8
77,2,2016-08-20,p1175481,2,2600,c364016,2016,8
83,2,2016-08-20,p1175481,1,1300,c266359,2016,8
83,3,2016-08-20,p1012751,1,1380,c266359,2016,8
91,3,2016-08-20,p1072601,1,4600,c261935,2016,8
91,5,2016-08-20,p1097821,1,1000,c261935,2016,8
11,8,2016-08-21,p1097821,1,1000,c312185,2016,8
11,11,2016-08-21,p1072601,1,4600,c312185,2016,8
11,13,2016-08-21,p1012751,1,1380,c312185,2016,8
23,9,2016-08-21,p1097821,1,1000,c017629,2016,8
27,13,2016-08-21,p1097821,1,1000,c221444,2016,8
