date,close,open,high,low,diff
2018년 11월 27일,"1,130.51","1,129.79","1,131.83","1,127.50",0.0006 
2018년 11월 26일,"1,129.79","1,133.50","1,134.50","1,126.60",(0.0033)
2018년 11월 23일,"1,133.50","1,130.00","1,134.44","1,128.80",0.0012 
2018년 11월 22일,"1,132.10","1,128.42","1,132.60","1,128.00",0.0035 
2018년 11월 21일,"1,128.12","1,130.25","1,134.71","1,127.10",(0.0019)
2018년 11월 20일,"1,130.25","1,126.13","1,131.34","1,125.83",0.0041 
2018년 11월 19일,"1,125.68","1,121.24","1,131.46","1,121.06",0.0038 
2018년 11월 16일,"1,121.40","1,127.93","1,133.41","1,119.50",(0.0058)
2018년 11월 15일,"1,127.93","1,132.70","1,134.72","1,125.02",(0.0042)
2018년 11월 14일,"1,132.70","1,132.34","1,137.93","1,129.38",0.0011 
2018년 11월 13일,"1,131.49","1,138.50","1,140.82","1,129.70",(0.0069)
2018년 11월 12일,"1,139.35","1,130.60","1,141.00","1,129.80",0.0077 
2018년 11월 09일,"1,130.69","1,121.68","1,132.70","1,120.40",0.0080 
2018년 11월 08일,"1,121.68","1,116.43","1,122.86","1,114.44",0.0047 
2018년 11월 07일,"1,116.43","1,121.93","1,126.20","1,116.00",(0.0049)
2018년 11월 06일,"1,121.93","1,120.56","1,126.53","1,119.30",0.0012 
2018년 11월 05일,"1,120.56","1,118.33","1,126.12","1,116.60",0.0022 
2018년 11월 02일,"1,118.10","1,125.26","1,130.20","1,111.20",(0.0055)
2018년 11월 01일,"1,124.31","1,141.18","1,142.07","1,122.04",(0.0155)
2018년 10월 31일,"1,142.02","1,139.69","1,143.56","1,137.80",0.0020 
2018년 10월 30일,"1,139.69","1,143.74","1,145.10","1,137.10",(0.0035)
2018년 10월 29일,"1,143.74","1,141.10","1,145.08","1,136.80",0.0030 
2018년 10월 26일,"1,140.28","1,137.38","1,145.70","1,135.63",0.0025 
2018년 10월 25일,"1,137.38","1,139.86","1,141.65","1,134.40",(0.0022)
2018년 10월 24일,"1,139.86","1,135.78","1,140.63","1,129.40",0.0036 
2018년 10월 23일,"1,135.78","1,133.25","1,140.48","1,131.80",0.0022 
2018년 10월 22일,"1,133.25","1,131.70","1,136.63","1,127.80",0.0010 
2018년 10월 19일,"1,132.15","1,138.60","1,140.89","1,129.20",(0.0057)
2018년 10월 18일,"1,138.60","1,128.53","1,140.16","1,127.70",0.0089 
2018년 10월 17일,"1,128.53","1,123.79","1,129.47","1,122.70",0.0047 
2018년 10월 16일,"1,123.24","1,131.05","1,135.47","1,121.38",(0.0076)
2018년 10월 15일,"1,131.87","1,131.50","1,135.70","1,127.10",0.0005 
2018년 10월 12일,"1,131.30","1,135.55","1,138.00","1,129.90",(0.0037)
2018년 10월 11일,"1,135.55","1,143.30","1,147.26","1,133.80",(0.0068)
2018년 10월 10일,"1,143.30","1,132.12","1,144.56","1,130.14",0.0099 
2018년 10월 09일,"1,132.12","1,134.63","1,139.18","1,131.59",(0.0022)
2018년 10월 08일,"1,134.63","1,131.84","1,139.78","1,129.80",0.0022 
2018년 10월 05일,"1,132.13","1,133.53","1,134.30","1,127.80",(0.0012)
2018년 10월 04일,"1,133.53","1,125.50","1,134.57","1,125.00",0.0071 
2018년 10월 03일,"1,125.50","1,119.43","1,126.48","1,117.36",0.0062 
2018년 10월 02일,"1,118.51","1,112.93","1,121.86","1,111.88",0.0043 
2018년 10월 01일,"1,113.76","1,110.00","1,114.63","1,109.10",0.0033 
2018년 09월 28일,"1,110.15","1,113.99","1,114.67","1,106.82",(0.0036)
2018년 09월 27일,"1,114.15","1,115.51","1,116.64","1,109.13",(0.0013)
2018년 09월 26일,"1,115.55","1,117.06","1,118.36","1,111.46",(0.0021)
2018년 09월 25일,"1,117.88","1,120.12","1,121.01","1,117.30",(0.0020)
2018년 09월 24일,"1,120.12","1,115.30","1,121.97","1,114.60",0.0046 
2018년 09월 21일,"1,114.95","1,117.13","1,119.90","1,113.10",(0.0020)
2018년 09월 20일,"1,117.13","1,118.95","1,123.70","1,117.00",(0.0016)
2018년 09월 19일,"1,118.95","1,122.82","1,126.10","1,118.60",(0.0034)
